,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation,Boundary,Boundary,FT_Low,FT_Low,FT_Mid,FT_Mid,FT_High,FT_High
PINN_Advection_ARB,PINN,0.9663084059255198,0.5711101186426505,1.3706516016507522,0.7959966342170839,0.8218452371656895,0.4857289489229081,0.003271656830474967,0.0029557686442439734,1.1065968518902083,0.6997388806735717,0.1727175315740169,0.10035658342015544,0.00047857040917733686,0.00017229717430449433,6.436066200876667e-06,1.521151390572645e-06
PINN_Advection_BRO,PINN,0.8569962827023119,0.4849673673335026,1.921850248426199,0.9024928308192162,0.6515974924899638,0.3687672747016376,0.005015078975702636,0.001996850851922089,0.6516940227709711,0.36879817795730874,,,,,,
PINN_Advection_MPI,PINN,0.9668738118896727,0.5708675199461105,1.3720239912043326,0.7958516871719861,0.8223260807339102,0.4855226025540903,0.002976333482183691,0.0024966675704270773,1.107344349657069,0.700144360473702,0.17271489788254257,0.10006219197448815,0.00045505489833885804,0.00011441005363576748,6.321269643194682e-06,1.157141615320316e-06
PINN_Advection_STD,PINN,0.9673440632061101,0.5702157056857742,1.3726242881501094,0.7933883612775492,0.8227260254323483,0.48496823114260823,0.002865661445684964,0.002211818169006946,1.1074460352305322,0.6992329668028654,0.17281354426231701,0.09999890534572693,0.0005026516311772867,0.00017566126691651962,6.266426214551757e-06,1.3712545858035634e-06
PINN_Burgers_ARB,PINN,0.48727891109883786,0.13752564739496043,0.3676348473876715,0.10832106883898068,0.26771591175347564,0.07636957204043258,0.2485353049938567,0.08463665147564801,0.25376945436000825,0.05012834476691374,0.08139337291941047,0.025741755443557137,0.004230825208924216,0.0044072457751721745,6.87645286475913e-05,0.00010877678298104574
PINN_Burgers_BRO,PINN,0.3775158181786537,0.07261501855488059,0.40171628929674624,0.0864746566383489,0.10565047329291702,0.028508820590121574,0.11718881148844958,0.026732693512887252,0.10566861797124147,0.028510051536264,,,,,,
PINN_Burgers_MPI,PINN,0.5060082113370299,0.1574698053441734,0.37829273818060755,0.1258275932679766,0.2781753165181726,0.08718027259215475,0.2597281561116688,0.09337063826877894,0.25333487952593714,0.07336876270610847,0.08452202935004607,0.029364025889192548,0.004205566972541419,0.004414681283732123,6.856223223792313e-05,0.00010931758936202729
PINN_Burgers_STD,PINN,0.5154920715838671,0.11887671450974292,0.3873545803129673,0.09625175801184692,0.283155569434166,0.0658274501622958,0.26575922723859546,0.07015216563248552,0.2631671356037259,0.04757418123149033,0.08598315329290926,0.021773079726205874,0.004217341686853615,0.004408389378382816,6.910749952169227e-05,0.00010868084115445774
Unet_Advection_ARB,Unet,0.25774441929534075,0.24349995883994494,1.183495456725359,0.6834446292173382,0.14915438299067318,0.14337890539468978,0.0640402685268782,0.0837007681167372,0.17018838888034224,0.11589726330750896,0.0538928217953071,0.05473965868778977,0.014658372238045558,0.010953087476683583,0.0014767459157155826,0.0007216989729992479
Unet_Advection_BRO,Unet,0.2510372981894761,0.22301030781112288,1.1398404292762279,0.625833622436258,0.14363422677852214,0.13012876010746016,0.05960434669395909,0.057560744992365694,0.16625348590314387,0.1086273913312292,0.052843405783642085,0.0511498214507131,0.014253193454351276,0.010138690411504975,0.0015112936685909516,0.0007264559577338981
Unet_Advection_MPI,Unet,0.2577949236612767,0.26767412422362225,1.1829937443137168,0.6818801854956116,0.14912010971456766,0.15604284058069282,0.06651270325528458,0.09602801227654494,0.17005000365898013,0.12391237911196545,0.054422188200987875,0.05969361726256248,0.014616426854627208,0.01091761660385483,0.001508266304153949,0.0007801393488244248
Unet_Advection_STD,Unet,0.26805738685652614,0.2711230994241872,1.2102825231850147,0.731251713148562,0.15389848714694382,0.15317881347746481,0.06515872738091275,0.09233287789204772,0.17218040144070984,0.1200430503738372,0.056248014082666484,0.0596250721788671,0.014881061707274056,0.011295331753592255,0.0015152075007790699,0.0007801598749258534
Unet_Burgers_ARB,Unet,0.36023671440780164,0.1579823085215278,0.5780869793146849,0.2437081186365516,0.08469491954892874,0.05155785918020192,0.04653472965583205,0.03848824873847689,0.09000058914534748,0.044085832707937284,0.03192453351803124,0.019207297444194745,0.0075349446356995035,0.005078855078779147,0.0009189462216454558,0.0005224321031479611
Unet_Burgers_BRO,Unet,0.3733821608126163,0.09931541038893242,0.5946348309516907,0.2273074023299875,0.08714914205484092,0.04298620716708793,0.04492228054441512,0.025150258468925154,0.09354578093625605,0.04096201220479639,0.032591677643358706,0.015760497671651563,0.007737336115678772,0.004747386284971603,0.0009605441307940054,0.0004858634179101667
Unet_Burgers_MPI,Unet,0.38996429182589054,0.16960295886231014,0.6174362037330866,0.28533922458581695,0.09605590444989502,0.07339302543412454,0.05744408741593361,0.07039578208709689,0.10180059135891498,0.06197617505965421,0.03622107836417854,0.0268728703078886,0.007911914587020874,0.005331069105023787,0.0009518924700387288,0.0005702350095947723
Unet_Burgers_STD,Unet,0.4048921067267656,0.1902940148077277,0.6037699285894632,0.2910632808444807,0.10156382424756885,0.07568678896082331,0.06725191404111683,0.07620966791447106,0.10323656857945025,0.06191068974671938,0.03825727724470198,0.028593070267155865,0.0077312319219345225,0.005437969427786706,0.0009710822225315497,0.0005737211616463876
