,,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation,Boundary,Boundary,FT_Low,FT_Low,FT_Mid,FT_Mid,FT_High,FT_High
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta0.1.hdf5,0.021016888692975043,0.000596364114978499,0.38990106880664827,0.009060166129152092,0.012052775640040637,0.0003963324427086437,0.0018260622746311128,0.0002938684838857437,0.02433440238237381,0.0010838579122108662,0.0013854495133273303,0.00018799945990177037,0.0009780175692867487,8.952170822079855e-05,0.000625448435312137,8.683225406068363e-06
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta0.4.hdf5,0.021260681003332137,0.0006029464422967929,0.4400006264448166,0.013536727375553857,0.01225448390468955,0.00041373200098342107,0.0019463091855868697,0.00037881930091078535,0.02582074087113142,0.0011955294893762174,0.0015936650685034691,0.00018924214403414708,0.0011034379014745355,5.258777170953647e-05,0.0006220097013283521,9.474807952781079e-06
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta1.0.hdf5,0.02235120441764593,0.0009260125836358345,0.48902621269226076,0.014373207410044612,0.013059535156935453,0.000622648436603398,0.002221803879365325,0.00033346061069304447,0.027219837158918382,0.0018124366278742233,0.0018721748841926456,0.00020842803044615594,0.0013593595242127777,0.00014263558254652055,0.0006308779527898877,1.1058687158698901e-05
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta4.0.hdf5,0.02201280426234007,0.0008850917914656334,0.4535290151834488,0.012746628609210947,0.013037187047302723,0.000571589557786665,0.001963509316556156,0.00041295452219602144,0.027179209887981413,0.0012473199531788735,0.0015396511880680919,0.00021010719038638224,0.0013341541751287877,0.00010090990011485202,0.0006108258385211229,1.4837949461077355e-05
FNO_Advection_STD,FNO,1D_Advection_Sols_beta0.1.hdf5,0.01942173670977354,0.0003048017673911033,0.3692024707794189,0.011216477052783651,0.010924142692238093,0.00022685020929730782,0.0011890671798028053,0.00015503334627805796,0.02259239312261343,0.0010466488536313204,0.0008927944698370993,7.7812134840789e-05,0.0007754002697765827,4.648742512451404e-05,0.0006051715870853513,1.1743360756873689e-05
FNO_Advection_STD,FNO,1D_Advection_Sols_beta0.4.hdf5,0.019367599114775657,0.0005818615299002856,0.40545558333396914,0.023052492344298833,0.010924341343343257,0.00039237961848264356,0.001376884907949716,0.0003184467055415806,0.02383229471743107,0.0013433588281199116,0.001092295319540426,0.00016817882286774503,0.0008962840016465634,7.14924414171673e-05,0.0005982733913697302,1.298936174545944e-05
FNO_Advection_STD,FNO,1D_Advection_Sols_beta1.0.hdf5,0.019458242133259772,0.0006235655876545103,0.4541461765766144,0.03199564872508306,0.011017889808863401,0.0004121444353088014,0.001349393860436976,0.00022663977621586128,0.023272954300045966,0.0017814456695248925,0.0011291583650745451,7.78309597622608e-05,0.000993072584969923,6.528830882036262e-05,0.0005950755963567645,1.9013525052264296e-05
FNO_Advection_STD,FNO,1D_Advection_Sols_beta4.0.hdf5,0.018663347885012626,0.0006703450913559727,0.3993705987930298,0.02201683213238684,0.010789291374385357,0.00040806953625071527,0.0011159081594087183,0.00021355530646155376,0.020855555310845375,0.0013756951001514114,0.000932675990043208,6.90262301091962e-05,0.0009563974046614021,5.167197878438042e-05,0.0005466773232910782,1.8857274068871187e-05
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.0864004448056221,0.0019540723308743044,0.4798903316259384,0.01434700995694973,0.028614995069801807,0.000611273005430772,0.0018179277423769236,0.00021809405328927152,0.02130059916526079,0.0024913390130914333,0.0020930493832565845,0.0001286068251430762,0.003033720306120813,0.00013352115410541186,0.0012898422311991454,2.131658616463015e-05
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.02675115894526243,0.0023360916012823267,0.22677560448646544,0.009492175577447913,0.00894729681313038,0.0005724078562484871,0.0014127152389846742,0.00016121147019966612,0.011813449021428824,0.0037252800422043412,0.0015733767650090158,0.00011359028647534018,0.001812903373502195,0.00016230328569042862,0.00020428190036909656,2.348579073513298e-05
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.009110487205907703,0.0028711246483148468,0.04103026613593101,0.00872496088897808,0.0019798643770627677,0.00040088507436227444,0.0008075512712821364,0.00018460064948375732,0.005644181300885976,0.0030617148640560148,0.0008372414333280176,0.00013423648887863235,0.00014253507106332108,1.1121377414205175e-05,4.4536942550621464e-05,2.6828164335084618e-05
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.010929541802033782,0.0030517657230475902,0.018709519971162082,0.004407612046170195,0.0019411098444834351,0.00016563277745617849,0.0003362669944181107,8.071595266834418e-05,0.005037511070258916,0.002038412306841178,0.000621939345728606,1.9357053695136937e-05,6.197164475452155e-05,1.7096810079764425e-05,3.753482797037577e-05,1.8279438821046773e-05
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08625584244728088,0.002025882052828113,0.4848372578620911,0.008405629600876987,0.0285816241055727,0.0006527208781856963,0.001846295886207372,0.00020744754152595806,0.02045992948114872,0.001960799176507584,0.0020871668355539443,0.0001349139260601567,0.0029962691711261868,0.00011577453899785944,0.0012907267664559186,2.2710917514023102e-05
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.026192393526434897,0.001030819750372686,0.2302172914147377,0.012089565356043018,0.008759437222033739,0.0003258516838823894,0.0013640990946441889,0.0001104309356362878,0.010592187009751796,0.001742420242855277,0.0015630702255293727,9.847060047809514e-05,0.0017590269213542341,0.00011391990053952425,0.00019573358731577172,1.431443488388628e-05
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.011757407942786813,0.004319975651251644,0.043279055133461954,0.009406307847885367,0.002253147610463202,0.0005101620760232865,0.0008259482099674642,0.0001923451908122512,0.008064181543886662,0.004344794562503399,0.0008565324882511049,0.0001396527278540159,0.00016076915781013668,2.3812790446875944e-05,6.241280680114869e-05,3.4878528347085985e-05
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.011083473451435566,0.0034278432984276345,0.02212922591716051,0.005244238659598555,0.001999733049888164,0.0002376486035656089,0.0004266514326445758,0.00016449882251997505,0.0050481174839660525,0.002349488339303263,0.000653365725884214,3.94286092454816e-05,7.461118293576874e-05,2.3349597624959847e-05,3.9597983231942635e-05,2.2342645914394213e-05
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08747676983475686,0.001258647533892838,0.48061698079109194,0.009973364216546807,0.029099569842219352,0.000470588879452893,0.0018350338097661734,0.00016666288940944118,0.020862367190420627,0.0013916882481055176,0.0021174700814299285,0.0001410038446980551,0.003019607230089605,0.00012442287257536074,0.0013055021758191288,1.3943923344028916e-05
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.02542122583836317,0.0006988852992396697,0.22513318955898284,0.012478620393414786,0.008589574322104453,0.00018436095142993617,0.0013177955406717956,0.00013672683613932587,0.010255006048828364,0.0016469309748860827,0.0015103192301467061,7.720270217919157e-05,0.0017101083765737712,7.031399367724754e-05,0.00019529417040757834,9.558937041563287e-06
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.00848402539268136,0.0026951808732009635,0.03739318400621414,0.004486328030398202,0.001877519383560866,0.0003138138936141429,0.0007915550959296525,0.00023168815574925767,0.005134725989773869,0.0021344572483856994,0.0007924287579953671,9.393461047851546e-05,0.00014495008072117342,1.0448672949634193e-05,4.097774199181003e-05,1.9071896889615667e-05
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.014480036590248347,0.006767917105358069,0.024705204367637634,0.008553861177243412,0.002224489557556808,0.00041927369685791004,0.00043542104831431063,0.00015735772861297532,0.007532407762482762,0.004044831644119281,0.0006538705434650183,3.795640399149771e-05,7.399055466521532e-05,2.5260815284422674e-05,6.0312703317322304e-05,3.4437067128799666e-05
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08168711513280869,0.001974831073078775,0.47992877662181854,0.00954018639025194,0.02700373101979494,0.000650720939653903,0.0021195128210820258,0.00033297719777258366,0.01890090685337782,0.0010470675080261863,0.0021088473149575293,0.00011935720806363948,0.002851318777538836,0.00011540931028494239,0.0012422591797076165,2.0504934068070797e-05
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.02354113943874836,0.0009226832671098491,0.21305643320083617,0.011025545941884637,0.007925127260386943,0.0002367361179267195,0.0014061970287002623,0.0001563604517516865,0.009232409158721566,0.0014822843936407497,0.0014105261070653796,7.79131199908429e-05,0.0015071921981871129,5.8356254720479926e-05,0.00018749634182313457,9.270911806506508e-06
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.0067883967887610195,0.001243430258980229,0.03313655331730843,0.002772577485160881,0.001567420642822981,0.00011941205840434851,0.0005832306866068393,8.905893055577611e-05,0.0036370818270370364,0.001072565157777485,0.0006723669590428472,4.659372292145866e-05,0.00014554092631442473,1.1707352449898116e-05,2.7812661301140906e-05,9.070237217224469e-06
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.01101701008155942,0.004360600484197983,0.020525633729994296,0.003609613733561446,0.0019628476118668916,0.0002705175361578548,0.0002950509064248763,4.705357921263741e-05,0.005386089417152106,0.002614484431221777,0.000611516839126125,1.7969439003720143e-05,6.690322879876476e-05,2.4991738121116476e-05,4.1212875385099326e-05,2.1283485322323788e-05
PINN_Advection_ARB,PINN,1D_Advection_Sols_beta0.1.hdf5,0.00690118046477437,0.0025069770078215174,0.01568312207236886,0.005255590262643847,0.005869439244270325,0.0021321785880112614,0.0027968340611550955,0.0015955593209903728,0.009080865164287388,0.005854551092354557,0.0019419498334173114,0.0009449115959928444,0.0004395974101498723,7.780510076793704e-05,6.513609014291432e-06,1.328688759612567e-06
PINN_Advection_ARB,PINN,1D_Advection_Sols_beta0.4.hdf5,1.4587575435638427,0.002193774821087534,1.9393258571624756,0.007752465497938325,1.2406715989112853,0.0018657840614982283,0.004760972171789035,0.004353865942814508,1.9182957530021667,0.005804810920096782,0.24487733095884323,0.0008245973885571304,0.0005069392209406942,0.00028694795004726174,6.354679680953268e-06,2.1549914253419873e-06
PINN_Advection_ARB,PINN,1D_Advection_Sols_beta1.0.hdf5,1.1950965523719788,0.0015508689307781641,1.7992387056350707,0.005647649131058879,1.0164284706115723,0.001318974375289094,0.002544754094560631,0.0024564512285912853,1.3005858063697815,0.005660591899927707,0.2266313537955284,0.0007878763375782911,0.0005183607310755179,0.0001557484863578299,5.592412981059169e-06,1.1253365428974552e-06
PINN_Advection_ARB,PINN,1D_Advection_Sols_beta4.0.hdf5,1.204478347301483,0.0010148056877215031,1.7283587217330934,0.0016890093295657126,1.0244114398956299,0.0008631115653869214,0.002984066994395107,0.0026321736235365456,1.1984249830245972,0.005161241287527495,0.21741949170827865,0.0006283275000891831,0.000449384274543263,0.00010345441019594824,7.283563127202796e-06,8.649803014348377e-07
PINN_Advection_BRO,PINN,1D_Advection_Sols_beta0.1.hdf5,0.03588906433433294,0.011022634244435212,0.41049347817897797,0.20212435145305588,0.02902427949011326,0.007672084193452384,0.004289262369275093,0.001941162477653723,0.029089626297354697,0.007703693471069707,,,,,,
PINN_Advection_BRO,PINN,1D_Advection_Sols_beta0.4.hdf5,1.2371542930603028,0.004871345378704193,2.635802984237671,0.009211251493267526,0.9496254086494446,0.0031848341768342184,0.005348377767950297,0.0016128952991402564,0.9498680651187896,0.003199867033994986,,,,,,
PINN_Advection_BRO,PINN,1D_Advection_Sols_beta1.0.hdf5,1.0533594369888306,0.0017707087017488398,2.203810715675354,0.02401851955161665,0.7892628908157349,0.0010971883002917082,0.006142941932193935,0.0024302396414946064,0.7893049895763398,0.0010997441504084938,,,,,,
PINN_Advection_BRO,PINN,1D_Advection_Sols_beta4.0.hdf5,1.1015823364257813,0.0016747637595541968,2.437293815612793,0.007298771956363117,0.8384773910045624,0.0011505911383567018,0.00427973383339122,0.0015100257008929337,0.8385134100914001,0.0011561518842571337,,,,,,
PINN_Advection_MPI,PINN,1D_Advection_Sols_beta0.1.hdf5,0.008048400119878351,0.0038718794819627904,0.01752476873807609,0.008865920187802153,0.0068451473489403725,0.0032930251854001442,0.003992954076966271,0.0034238678130147572,0.01026327385334298,0.008283470963246234,0.0024164791568182407,0.0012973960196248917,0.0004211491468595341,0.00012270485503146323,6.451208173530177e-06,1.4940189362016812e-06
PINN_Advection_MPI,PINN,1D_Advection_Sols_beta0.4.hdf5,1.4598909735679626,0.002553615735581907,1.942764699459076,0.0057218591383775925,1.2416355609893799,0.002171870376717057,0.0022287214975222013,0.00216798001509673,1.9214762210845948,0.005202528557623106,0.24446607381105423,0.0007296928447122357,0.00046546264202333986,8.608305093330552e-05,5.641559573632548e-06,1.119977280151627e-06
PINN_Advection_MPI,PINN,1D_Advection_Sols_beta1.0.hdf5,1.1950021982192993,0.0018722512276600465,1.7992307186126708,0.005748392485369864,1.016348159313202,0.0015923184609491444,0.0025377653371833732,0.0023619275696349184,1.2999830722808838,0.00358321984769755,0.22648178786039352,0.0006322338156730628,0.0004258578293956816,9.421891894255122e-05,6.039405889168847e-06,5.977341667288954e-07
PINN_Advection_MPI,PINN,1D_Advection_Sols_beta4.0.hdf5,1.2045536756515502,0.0010762986242152126,1.7285757780075073,0.002062188209780459,1.0244754552841187,0.0009154162371236911,0.0031458930170629174,0.0017304425812140268,1.1976548314094544,0.0055144698357291345,0.21749525070190429,0.0005053421841939324,0.0005077499750768766,0.0001412363440065453,7.152904936447158e-06,7.547625978582354e-07
PINN_Advection_STD,PINN,1D_Advection_Sols_beta0.1.hdf5,0.009616516763344407,0.0037024529596949448,0.022188751492649317,0.008435433549422883,0.008178827166557313,0.0031489284493559522,0.0032879760023206473,0.0033017834675224144,0.011207483150064946,0.003731139636518586,0.002631733671296388,0.0011416206533234087,0.0006030488817486912,0.0002913353971643214,6.253098808883805e-06,1.2420090454458708e-06
PINN_Advection_STD,PINN,1D_Advection_Sols_beta0.4.hdf5,1.45981525182724,0.001309838579304013,1.9402801632881164,0.0052218694976762375,1.2415711283683777,0.0011140512506345995,0.0027733389055356384,0.001756004912311035,1.9194162726402282,0.0053500883055037415,0.244604229927063,0.00044823099095426855,0.00045685063378186896,0.00011791234807873241,5.982893208056339e-06,7.879203648939043e-07
PINN_Advection_STD,PINN,1D_Advection_Sols_beta1.0.hdf5,1.1951241135597228,0.002543835942270816,1.7994333505630493,0.0061212303259024,1.016451859474182,0.0021635648045922316,0.0024580124154454097,0.0017798853404010723,1.3009061217308044,0.005474296661250626,0.22653965651988983,0.0006453952746703671,0.0004605523165082559,0.00011022633829609137,5.250855974736624e-06,7.120824857583289e-07
PINN_Advection_STD,PINN,1D_Advection_Sols_beta4.0.hdf5,1.2048203706741334,0.0009607371056810438,1.7285948872566224,0.0011446012029132282,1.024702286720276,0.0008171138214026342,0.00294331845943816,0.0019097050036357202,1.1982542634010316,0.006787479972484505,0.21747855693101883,0.00048051553465835957,0.0004901546926703304,8.432369276245025e-05,7.578856866530259e-06,1.5258793950660878e-06
PINN_Burgers_ARB,PINN,1D_Burgers_Sols_Nu0.001.hdf5,0.5309341609477997,0.13226832150232642,0.4641466200351715,0.06923413253415613,0.295370914041996,0.0735833994605648,0.2592524871230125,0.0899782117949064,0.26068752706050874,0.03939643449208906,0.09820136353373528,0.023069729256002116,0.010418754350394011,3.855066243342963e-05,0.00025466557417530566,4.049319031911238e-07
PINN_Burgers_ARB,PINN,1D_Burgers_Sols_Nu0.01.hdf5,0.4954007863998413,0.16830104724364073,0.41963213831186297,0.10667015767265012,0.2746878400444984,0.09331820852775641,0.2394426826853305,0.11321596202277487,0.24705835580825805,0.06833096103446198,0.09115200601518154,0.030499986688962116,0.006225012429058552,1.5296357976232814e-05,1.2520651580416597e-05,1.3148651553100012e-06
PINN_Burgers_ARB,PINN,1D_Burgers_Sols_Nu0.1.hdf5,0.4847539201378822,0.15189659602615108,0.316019769012928,0.07845262436835186,0.26331699416041376,0.08250989454294902,0.25948431342840195,0.08423823128615726,0.2615331202745438,0.05886198322602763,0.07252939604222775,0.020463802628889003,0.00016422767148469575,8.900920481092007e-05,4.191741550130246e-06,3.5167705529490312e-06
PINN_Burgers_ARB,PINN,1D_Burgers_Sols_Nu1.0.hdf5,0.43802677690982816,0.09039749174589093,0.2707408621907234,0.042106181809110084,0.23748789876699447,0.049011405991921365,0.2359617367386818,0.05002882056978674,0.2457988142967224,0.031021057292106087,0.06369072608649731,0.01161841947403751,0.00011530638475960586,4.9897816025721035e-05,3.680147284512714e-06,2.4236750441330395e-06
PINN_Burgers_BRO,PINN,1D_Burgers_Sols_Nu0.001.hdf5,0.44626039564609526,0.027371528310003727,0.4748376578092575,0.03283783682980856,0.1334313526749611,0.012719073587299443,0.11466148421168328,0.01956224217536603,0.13345681950449945,0.012719666960038671,,,,,,
PINN_Burgers_BRO,PINN,1D_Burgers_Sols_Nu0.01.hdf5,0.4296161592006683,0.023631183497207296,0.44149486124515536,0.051051475017394154,0.12315273955464363,0.010394240220903656,0.11391806825995446,0.02120165333262676,0.12316278964281083,0.010393795009210238,,,,,,
PINN_Burgers_BRO,PINN,1D_Burgers_Sols_Nu0.1.hdf5,0.31997646689414977,0.05734460103983561,0.3849250555038452,0.08145156540539424,0.09068505465984344,0.024112541367254832,0.1330149754881859,0.034780265448451496,0.09070386923849583,0.024115354863678735,,,,,,
PINN_Burgers_BRO,PINN,1D_Burgers_Sols_Nu1.0.hdf5,0.3142102509737015,0.04306845117859528,0.30560758262872695,0.06172285068696742,0.07533274628221989,0.014235888476028169,0.10716071799397468,0.025414260873965484,0.07535099349915982,0.014237801294361647,,,,,,
PINN_Burgers_MPI,PINN,1D_Burgers_Sols_Nu0.001.hdf5,0.5432717844843864,0.12979640285162303,0.4695334881544113,0.07712316455520428,0.3022341549396515,0.07220826899784497,0.2674345558509231,0.09106561942276911,0.26896210163831713,0.03066298613406503,0.09973881021142006,0.02447694173821072,0.010391008574515581,5.8594853609318885e-05,0.0002553372469265014,2.4992503527933707e-06
PINN_Burgers_MPI,PINN,1D_Burgers_Sols_Nu0.01.hdf5,0.5783787816762924,0.06178115803434429,0.47006270885467527,0.024831613895247313,0.3206970304250717,0.03425567773156798,0.29489027708768845,0.04195715769362065,0.2783913254737854,0.03064890138426571,0.1059681534767151,0.008415428081409595,0.0062249806243926285,1.7229076750776796e-05,1.3246605976746651e-05,1.6596377406424688e-06
PINN_Burgers_MPI,PINN,1D_Burgers_Sols_Nu0.1.hdf5,0.5088572025299072,0.10220424309532473,0.33664208054542544,0.050104557301429424,0.2764099702239037,0.05551711644996821,0.2718456402420998,0.05712634792624939,0.26219618022441865,0.03674892083250117,0.07669824175536633,0.01333758599906493,0.0001003587280138163,8.212113150790713e-05,3.050569284823723e-06,3.3946284886683853e-06
PINN_Burgers_MPI,PINN,1D_Burgers_Sols_Nu1.0.hdf5,0.39352507665753367,0.23433567153588458,0.23693267516791822,0.12959541966428786,0.21336011048406361,0.12705132941191535,0.2047421512659639,0.13963980043834373,0.2037899107672274,0.12772057323519698,0.055682911956682804,0.03358766777007605,0.00010591996324365028,4.366479858916952e-05,2.6145067636207386e-06,1.5744507008984229e-06
PINN_Burgers_STD,PINN,1D_Burgers_Sols_Nu0.001.hdf5,0.5240015327930451,0.12651999897837676,0.4725862979888916,0.060284655734907266,0.29151347279548645,0.070385322472473,0.255828008800745,0.08380018952926462,0.2649101436138153,0.04697817835578412,0.09733740203082561,0.020352562018935583,0.01039208061993122,1.6343755654397538e-05,0.00025479506875853987,5.790592867686968e-07
PINN_Burgers_STD,PINN,1D_Burgers_Sols_Nu0.01.hdf5,0.5482681840658188,0.08974630549059436,0.4549242615699768,0.03785752922952878,0.3040016904473305,0.04976216294793334,0.27557452470064164,0.057016753590472716,0.26090616583824155,0.035204178608764854,0.10162329077720642,0.01428151195631599,0.006237351894378662,3.175626040847125e-05,1.4012129668117268e-05,2.8937098536833557e-06
PINN_Burgers_STD,PINN,1D_Burgers_Sols_Nu0.1.hdf5,0.5051813885569573,0.16769592449398152,0.3275028467178345,0.08345040081757943,0.2744132071733475,0.09109193870952614,0.27020005583763124,0.0937205460686739,0.2688948757946491,0.07392437234313946,0.07513479609042406,0.022262399292706386,0.00014030880556674673,5.877946704356405e-05,4.297644113648857e-06,3.0331239171630577e-06
PINN_Burgers_STD,PINN,1D_Burgers_Sols_Nu1.0.hdf5,0.48451718091964724,0.08121177969623704,0.2944049149751663,0.03728157566685569,0.2626939073204994,0.04403113336595674,0.26143431961536406,0.044827414099964366,0.2579573571681976,0.028651063847436157,0.06983712427318096,0.010248296490683852,9.962542753783055e-05,5.07058330995522e-05,3.3251555464630655e-06,2.5436830504686604e-06
Unet_Advection_ARB,Unet,1D_Advection_Sols_beta0.1.hdf5,0.09503041692078114,0.05518194103903852,1.0305428743362426,0.3263201529697802,0.052636842057108876,0.029541869091349884,0.021470826491713522,0.014800049539654588,0.13106776475906373,0.07262901032410837,0.01699618073180318,0.010746571615791204,0.008143149921670556,0.004005033779376659,0.001272491569397971,0.0005721613368265326
Unet_Advection_ARB,Unet,1D_Advection_Sols_beta0.4.hdf5,0.3065240114927292,0.1607182825025392,1.2191821932792664,0.23018716982099557,0.16619026362895967,0.0818824285748235,0.08401541467756032,0.06420534520727005,0.17787664756178856,0.05597892076133604,0.05732413828372955,0.03214490059002772,0.01969661172479391,0.006128217100020577,0.001689651852939278,0.0002775002451092847
Unet_Advection_ARB,Unet,1D_Advection_Sols_beta1.0.hdf5,0.5825702041387558,0.16500006711244403,2.13417626619339,0.22333114007173363,0.350337940454483,0.09255342120404576,0.13421719148755074,0.12279978936448997,0.3276787489652634,0.049791177878039806,0.13225903138518333,0.03345024704020708,0.027604165486991405,0.007237246644189207,0.002319695381447673,0.00037046770626902723
Unet_Advection_ARB,Unet,1D_Advection_Sols_beta4.0.hdf5,0.046853044629096986,0.04603196532123913,0.3500804930925369,0.10656794296543547,0.02745248582214117,0.02892572036048943,0.016457641450688242,0.022200631162102035,0.044130394235253334,0.018352239444980142,0.008991936780512333,0.011287030819584595,0.0031895618187263606,0.002482955871760831,0.0006251448590774089,0.00015281281107249256
Unet_Advection_BRO,Unet,1D_Advection_Sols_beta0.1.hdf5,0.08847326785326004,0.045938574228843704,0.9880659580230713,0.26638035277398103,0.05065643265843391,0.024442208078144217,0.019340617675334217,0.0117156531823175,0.12468314915895462,0.05407834624102408,0.016143288929015398,0.008944810807400267,0.007942748162895441,0.003266588449008734,0.001217604271369055,0.00038959365214105994
Unet_Advection_BRO,Unet,1D_Advection_Sols_beta0.4.hdf5,0.34127665013074876,0.12041950421796468,1.3045940279960633,0.22246501933576174,0.18664301559329033,0.06796164133071368,0.08585243746638298,0.03246474337549891,0.192154261469841,0.04754349456561103,0.06643987745046616,0.02512434920753409,0.02005683593451977,0.00486335474608466,0.0019216747023165226,0.0004853731980739877
Unet_Advection_BRO,Unet,1D_Advection_Sols_beta1.0.hdf5,0.5361562639474868,0.14037600219831067,1.927255141735077,0.33942920908032814,0.31554790288209916,0.08416592128793889,0.12074662819504738,0.06267533851780939,0.3073602318763733,0.05990487128797864,0.12218866422772408,0.03459569921157021,0.026311330497264862,0.00436043009336736,0.0022729473537765445,0.000312058435082956
Unet_Advection_BRO,Unet,1D_Advection_Sols_beta4.0.hdf5,0.038243010826408866,0.012093314108947973,0.3394465893507004,0.07131638546986131,0.02168955598026514,0.00753428050865722,0.012477703439071775,0.00704994478780456,0.04081630110740662,0.00936927032738163,0.006601792527362704,0.0028824679795321066,0.0027018592227250338,0.0007848130366841155,0.000632948346901685,0.00013178506571057138
Unet_Advection_MPI,Unet,1D_Advection_Sols_beta0.1.hdf5,0.08266321867704392,0.024525476997083174,0.9380112171173096,0.22696006323910084,0.045853288099169734,0.01398482428093058,0.017679801676422358,0.007448238845715062,0.11485330983996392,0.03602965928524194,0.014314146153628826,0.005767513017645845,0.007261888217180967,0.002159059141882467,0.0011765058327000589,0.0002694576258161574
