,,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.01175740803591907,0.004319976171266746,0.043279053270816804,0.009406306938986322,0.00225314759882167,0.0005101620870580917,0.0008259482274297625,0.0001923451453310627
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.011083473917096853,0.0034278432867325113,0.02212922303006053,0.005244240074323441,0.001999733049888164,0.0002376486792907785,0.00042665137734729794,0.00016449878663958966
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08747677132487297,0.0012586478595269048,0.48061700761318205,0.009973367711207244,0.029099570028483866,0.000470588587434404,0.0018350338330492377,0.00016666286255467855
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.0254212262108922,0.0006988850797231236,0.2251331925392151,0.012478614374383534,0.008589574322104453,0.00018436095142993617,0.0013177956454455853,0.00013672685663268554
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.00848402539268136,0.00269518099097017,0.03739318624138832,0.004486324844287972,0.0018775193486362696,0.00031381386350408445,0.0007915550959296525,0.00023168822951707995
FNO_Burgers_MPI,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.014480036310851574,0.0067679167622461435,0.02470520418137312,0.008553863379621437,0.0022244895808398724,0.0004192737294630824,0.0004354210148449056,0.0001573577896071114
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08168711513280869,0.0019748302885819573,0.47992877662181854,0.009540171325431186,0.02700373101979494,0.000650720939653903,0.00211951284436509,0.0003329772348263659
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.023541139252483845,0.0009226841271163337,0.21305642724037172,0.0110255546450393,0.007925127167254686,0.00023673615540449781,0.0014061970170587302,0.0001563604775339431
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.006788396975025535,0.0012434302507612761,0.03313655294477939,0.0027725777859000144,0.001567420642822981,0.00011941209062833348,0.0005832306225784123,8.905886178928346e-05
FNO_Burgers_STD,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.011017010174691677,0.004360600566081301,0.020525635965168477,0.0036096151345926487,0.0019628476235084235,0.0002705175225579379,0.0002950508656795137,4.705352714142927e-05
